Rank,CCA3,Country,Capital,Continent,2022 Population,Land Area (km2),Density (per km2),Growth Rate,Med Age,Urban Pop,Urban Pop (%),World Share (%)
1,CHN,China,Beijing,Asia,1425887337,9706961,146.89,1.0,38.4,911142008,63.9,17.88
2,IND,India,New Delhi,Asia,1417173173,3287590,431.07,1.0068,28.2,501679303,35.4,17.77
3,USA,United States,"Washington, D.C.",North America,338289857,9372610,36.09,1.0038,38.3,280442291,82.9,4.24
4,IDN,Indonesia,Jakarta,Asia,275501339,1904569,144.65,1.0064,29.7,159515275,57.9,3.45
5,PAK,Pakistan,Islamabad,Asia,235824862,881912,267.4,1.0191,21.3,87726848,37.2,2.96
6,NGA,Nigeria,Abuja,Africa,218541212,923768,236.58,1.0241,18.1,115826842,53.0,2.74
7,BRA,Brazil,Brasilia,South America,215313498,8515767,25.28,1.0046,33.5,188614624,87.6,2.7
8,BGD,Bangladesh,Dhaka,Asia,171186372,147570,1160.04,1.0108,27.6,66591498,38.9,2.15
9,RUS,Russia,Moscow,Europe,144713314,17098242,8.46,0.9973,39.6,108390272,74.9,1.81
10,MEX,Mexico,Mexico City,North America,127504125,1964375,64.91,1.0063,29.3,102640820,80.5,1.6
11,JPN,Japan,Tokyo,Asia,123951692,377930,327.98,0.9947,48.4,113911604,91.9,1.55
12,ETH,Ethiopia,Addis Ababa,Africa,123379924,1104300,111.73,1.0257,19.5,27637102,22.4,1.55
13,PHL,Philippines,Manila,Asia,115559009,342353,337.54,1.0147,24.1,55352765,47.9,1.45
14,EGY,Egypt,Cairo,Africa,110990103,1002450,110.72,1.0158,24.6,47503764,42.8,1.39
15,COD,DR Congo,Kinshasa,Africa,99010212,2344858,42.22,1.0325,17.0,45445687,45.9,1.24
16,VNM,Vietnam,Hanoi,Asia,98186856,331212,296.45,1.0074,30.9,36820071,37.5,1.23
17,IRN,Iran,Tehran,Asia,88550570,1648195,53.73,1.0071,32.0,67564084,76.3,1.11
18,TUR,Turkey,Ankara,Asia,85341241,783562,108.91,1.0067,31.5,64944684,76.1,1.07
19,DEU,Germany,Berlin,Europe,83369843,357114,233.45,0.9995,45.7,64611628,77.5,1.05
20,THA,Thailand,Bangkok,Asia,71697030,513120,139.73,1.0013,40.1,36852273,51.4,0.9
21,GBR,United Kingdom,London,Europe,67508936,242900,277.93,1.0034,40.5,56842524,84.2,0.85
22,TZA,Tanzania,Dodoma,Africa,65497748,945087,69.3,1.03,17.6,23120705,35.3,0.82
23,FRA,France,Paris,Europe,64626628,551695,117.14,1.0015,41.4,51959808,80.4,0.81
24,ZAF,South Africa,Pretoria,Africa,59893885,1221037,49.05,1.0084,27.6,40368478,67.4,0.75
25,ITA,Italy,Rome,Europe,59037474,301336,195.92,0.9966,47.3,42093718,71.3,0.74
26,MMR,Myanmar,Nay Pyi Taw,Asia,54179306,676578,80.08,1.0071,28.0,16741405,30.9,0.68
27,KEN,Kenya,Nairobi,Africa,54027487,580367,93.09,1.0193,19.7,15181723,28.1,0.68
28,COL,Colombia,Bogota,South America,51874024,1141748,45.43,1.0069,30.5,42277329,81.5,0.65
29,KOR,South Korea,Seoul,Asia,51815810,100210,517.07,0.9997,43.7,42178069,81.4,0.65
30,ESP,Spain,Madrid,Europe,47558630,505992,93.99,1.0015,44.9,38189579,80.3,0.6
31,UGA,Uganda,Kampala,Africa,47249585,241550,195.61,1.0304,15.7,12048644,25.5,0.59
32,SDN,Sudan,Khartoum,Africa,46874204,1886068,24.85,1.0267,19.9,16499719,35.2,0.59
33,ARG,Argentina,Buenos Aires,South America,45510318,2780400,16.37,1.0052,31.7,41915002,92.1,0.57
34,DZA,Algeria,Algiers,Africa,44903225,2381741,18.85,1.0164,28.9,33093676,73.7,0.56
35,IRQ,Iraq,Baghdad,Asia,44496122,438317,101.52,1.0221,19.6,31369766,70.5,0.56
36,AFG,Afghanistan,Kabul,Asia,41128771,652230,63.06,1.0257,18.4,10487836,25.5,0.52
37,POL,Poland,Warsaw,Europe,39857145,312679,127.47,1.0404,41.7,23994001,60.2,0.5
38,UKR,Ukraine,Kiev,Europe,39701739,603500,65.79,0.912,41.4,27672112,69.7,0.5
39,CAN,Canada,Ottawa,North America,38454327,9984670,3.85,1.0078,41.2,31417185,81.7,0.48
40,MAR,Morocco,Rabat,Africa,37457971,446550,83.88,1.0103,29.7,23785811,63.5,0.47
41,SAU,Saudi Arabia,Riyadh,Asia,36408820,2149690,16.94,1.0128,29.9,30619817,84.1,0.46
42,AGO,Angola,Luanda,Africa,35588987,1246700,28.55,1.0315,16.5,24022566,67.5,0.45
43,UZB,Uzbekistan,Tashkent,Asia,34627652,447400,77.4,1.016,28.6,17590847,50.8,0.43
44,PER,Peru,Lima,South America,34049588,1285216,26.49,1.0099,28.1,26524629,77.9,0.43
45,MYS,Malaysia,Kuala Lumpur,Asia,33938221,330803,102.59,1.0109,29.2,26132430,77.0,0.43
46,YEM,Yemen,Sanaa,Asia,33696614,527968,63.82,1.0217,18.5,12939499,38.4,0.42
